iter	Logloss
0	0.4713617029
1	0.3675590271
2	0.3201347406
3	0.2937140909
4	0.2773191802
5	0.2673857872
6	0.2600798461
7	0.2550101804
8	0.2518906625
9	0.2495524619
10	0.2476610918
11	0.2460184888
12	0.2447131791
13	0.2437657076
14	0.242992251
15	0.2423672005
16	0.2415879143
17	0.241076172
18	0.2406504604
19	0.2403350028
20	0.2400627233
21	0.2398264032
22	0.23956713
23	0.239326385
24	0.2391507994
25	0.2389818753
26	0.2386151057
27	0.2383276731
28	0.2381066338
29	0.2378762309
30	0.2377308428
31	0.2376328977
32	0.2375086387
33	0.2373444671
34	0.2371997629
35	0.2370980662
36	0.2369742075
37	0.2368060986
38	0.2367087871
39	0.2366003939
40	0.2364804111
41	0.2363908422
42	0.23623406
43	0.2361209749
44	0.2360353298
45	0.235946577
46	0.2358526787
47	0.23576249
48	0.2356482935
49	0.235540785
50	0.2354649324
51	0.2353852114
52	0.2353380423
53	0.2352633308
54	0.2352090932
55	0.2351582479
56	0.2351122147
57	0.2350626323
58	0.2350215022
59	0.2349529775
60	0.2348424707
61	0.2347865095
62	0.2347370025
63	0.2346870698
64	0.2346451394
65	0.2345851792
66	0.2345533548
67	0.2344863854
68	0.2343999117
69	0.2343301892
70	0.2342672097
71	0.2342383403
72	0.2342008711
73	0.2341347858
74	0.2341184673
75	0.2340894373
76	0.23402719
77	0.2339809361
78	0.2339375131
79	0.233907039
80	0.2338667748
81	0.2338292163
82	0.2338076898
83	0.233759807
84	0.233628194
85	0.2336106682
86	0.233569404
87	0.2335120446
88	0.2334668131
89	0.2334245205
90	0.2333325759
91	0.2333086823
92	0.2330667295
93	0.2330231771
94	0.2329900386
95	0.2329644411
96	0.2329317829
97	0.2326597804
98	0.2324329896
99	0.232398248
100	0.2323654994
101	0.2323342322
102	0.2321074608
103	0.2320702087
104	0.2320376916
105	0.2320117211
106	0.2319693819
107	0.2318915619
108	0.2318683003
109	0.2318097041
110	0.2317741673
111	0.2317438729
112	0.2316855473
113	0.2316201519
114	0.2315749246
115	0.2312468386
116	0.2311892313
117	0.2311644655
118	0.2311219752
119	0.2310988738
120	0.231071004
121	0.2310239764
122	0.2309863804
123	0.2309637674
124	0.2309200224
125	0.2308884654
126	0.2308528939
127	0.2308162842
128	0.23080003
129	0.2307756004
130	0.230739903
131	0.2307117567
132	0.2306858297
133	0.2306603141
134	0.2306397983
135	0.2306252589
136	0.2304861968
137	0.2304611176
138	0.2304268207
139	0.2304062231
140	0.2303723422
141	0.2303522058
142	0.230311092
143	0.2302866083
144	0.2302606957
145	0.2302101096
146	0.2300141243
147	0.2299814806
148	0.229960735
149	0.2299414632
150	0.229911992
151	0.2296879123
152	0.2296048649
153	0.2295710374
154	0.2294371267
155	0.2293888105
156	0.2293673573
157	0.2293426666
158	0.2293186845
159	0.2292965104
160	0.2292675918
161	0.2292442933
162	0.2292109591
163	0.2291882445
164	0.2291514174
165	0.229124585
166	0.2291072918
167	0.229085835
168	0.2290635087
169	0.2290459729
170	0.2290280545
171	0.2290065133
172	0.2289876306
173	0.2289631039
174	0.2289414426
175	0.2289210279
176	0.2288944506
177	0.2288731434
178	0.228853054
179	0.228834049
180	0.2288082595
181	0.2287853928
182	0.2287683093
183	0.2287383639
184	0.2287183277
185	0.2287006624
186	0.228685953
187	0.2286630236
188	0.2286443619
189	0.2286112374
190	0.2285884375
191	0.2285522876
192	0.2284919836
193	0.2284728943
194	0.2284548926
195	0.228436675
196	0.2284211746
197	0.2283945028
198	0.2283084317
199	0.228274703
200	0.2282605517
201	0.2280781263
202	0.2279448996
203	0.2279192465
204	0.2278632422
205	0.2278283302
206	0.2277600066
207	0.2277078717
208	0.2276907646
209	0.2276745215
210	0.2275245424
211	0.2274688772
212	0.2274487454
213	0.2274300217
214	0.2272651415
215	0.2272443742
216	0.2271342399
217	0.2270748423
218	0.2270534306
219	0.227032008
220	0.2270125165
221	0.2269891149
222	0.2269581612
223	0.2269028691
224	0.2268885789
225	0.2268765234
226	0.2268226571
227	0.2268024338
228	0.2267602194
229	0.2267366548
230	0.2267090843
231	0.2266873117
232	0.2266703593
233	0.2266517187
234	0.2266276412
235	0.226610386
236	0.226594049
237	0.2265745655
238	0.2265609039
239	0.2265275645
240	0.2265104035
241	0.2264883849
242	0.2264713367
243	0.2264547135
244	0.2264351034
245	0.22641522
246	0.2263900951
247	0.2263717116
248	0.2263511636
249	0.2263399611
250	0.2263249849
251	0.2263028699
252	0.226283484
253	0.2262663752
254	0.2262387402
255	0.226222372
256	0.226205661
257	0.2261724934
258	0.2261604822
259	0.2261443507
260	0.2261199672
261	0.2261029963
262	0.2260893057
263	0.2260690178
264	0.2260457328
265	0.2260256118
266	0.2260028913
267	0.2259821879
268	0.2259622165
269	0.2259474385
270	0.2259126251
271	0.2258980555
272	0.2258818776
273	0.2258606625
274	0.225834061
275	0.2258170771
276	0.2257986852
277	0.2257810117
278	0.2257582002
279	0.2257469345
280	0.225732892
281	0.2257207386
282	0.2257049318
283	0.2256899445
284	0.2256715653
285	0.2256516556
286	0.2256386444
287	0.2256196029
288	0.2255953228
289	0.2255726398
290	0.2255597376
291	0.2255449823
292	0.2255331859
293	0.2255146659
294	0.2254690938
295	0.2254511468
296	0.2254376614
297	0.225413612
298	0.2253978709
299	0.2253748303
300	0.2253510251
301	0.2253343785
302	0.2253207798
303	0.2253062932
304	0.2252872827
305	0.2252722238
306	0.2252551523
307	0.2252404664
308	0.225226426
309	0.225207475
310	0.225190659
311	0.2251775417
312	0.2251597211
313	0.225145857
314	0.2251299778
315	0.2251074086
316	0.2250959431
317	0.2250796511
318	0.2250622279
319	0.2250470153
320	0.2250145418
321	0.2250003013
322	0.2249824116
323	0.2249630427
324	0.2249444174
325	0.2249224899
326	0.2249106033
327	0.2248919717
