feature,mean_importance
feature_1,0.0009521735337750831
feature_2,0.0036564961045460753
feature_1_diff_feature_3,0.005896377266513033
feature_4_ratio_feature_2,0.007976158692973984
feature_4,0.013638850657023197
feature_3_ratio_feature_1,0.013686696185474365
feature_3_diff_feature_4,0.01608770192072484
feature_4_ratio_feature_1,0.0161890302315393
feature_4_multiply_feature_3,0.02441738508696173
feature_2_diff_feature_3,0.027064549949196985
feature_2_ratio_feature_4,0.027083782788006622
feature_3,0.03268229347961772
feature_1_ratio_feature_3,0.04436306826129051
feature_4_sum_feature_3,0.05244979435000818
