iter	Logloss
0	0.5586569739
1	0.4704981146
2	0.413161421
3	0.3761117284
4	0.3505411113
5	0.3321906926
6	0.3189715443
7	0.3092021021
8	0.3025942939
9	0.2972237882
10	0.2924910709
11	0.2893465116
12	0.2860629907
13	0.2835789096
14	0.2815300398
15	0.2798602407
16	0.278077258
17	0.2764735333
18	0.2755032069
19	0.2742873037
20	0.2735882139
21	0.2728096713
22	0.2722016154
23	0.271490672
24	0.2708733841
25	0.2702500942
26	0.2698420084
27	0.2694043999
28	0.2690703448
29	0.268723165
30	0.2684717697
31	0.2681658434
32	0.2679663297
33	0.2677569515
34	0.2674860242
35	0.2672882333
36	0.2670954413
37	0.2667875389
38	0.2665932594
39	0.2664515454
40	0.2661604187
41	0.2659713958
42	0.2657865765
43	0.2656412694
44	0.2655181374
45	0.2653945203
46	0.2652930295
47	0.2652043832
48	0.2650198461
49	0.2648885573
50	0.2647412884
51	0.2646254639
52	0.2645326609
53	0.2644679503
54	0.2643817119
55	0.2642790212
56	0.2641955615
57	0.2641061551
58	0.2639853633
59	0.2638981145
60	0.2637805664
61	0.2637089506
62	0.2636510816
63	0.2635367565
64	0.2634404093
65	0.2633343369
66	0.2632015753
67	0.2630858809
68	0.2630290501
69	0.2629568889
70	0.2628971061
71	0.2628256176
72	0.2627530866
73	0.2626452133
74	0.2625904038
75	0.2625495796
76	0.2624753873
77	0.2624048398
78	0.2623257776
79	0.2622861813
80	0.2622045328
81	0.2621518136
82	0.2621177795
83	0.2620659321
84	0.2620237798
85	0.2619907627
86	0.261914746
87	0.2618668403
88	0.2618110641
89	0.2617422291
90	0.2617044918
91	0.2616692242
92	0.2616191657
93	0.2615556506
94	0.2614900923
95	0.2614531819
96	0.2614092346
97	0.2613710969
98	0.2613225248
99	0.2612742309
100	0.261244518
101	0.2612311049
102	0.2611915012
103	0.2611420788
104	0.2611030927
105	0.2610769592
106	0.2610351901
107	0.2609903637
108	0.2609161272
109	0.2608593196
110	0.2608237658
111	0.2607879433
112	0.2607523175
113	0.2607105633
114	0.2606673864
115	0.2606296261
116	0.2605946223
117	0.2605456302
118	0.2605092244
119	0.2604812866
120	0.2604618912
121	0.2603769957
122	0.2603175561
123	0.260246257
124	0.2602127075
125	0.2601516382
126	0.2601149256
127	0.2600796247
128	0.2600394501
129	0.2600003215
130	0.259965061
131	0.2599413759
132	0.2598977785
133	0.2598545929
134	0.2598001885
135	0.2597680599
136	0.2597335379
137	0.2596975955
138	0.2596651204
139	0.2596273466
140	0.2595950525
141	0.259568699
142	0.2595222797
143	0.2594775068
144	0.2594406768
145	0.2594014246
146	0.2593579249
147	0.2593041543
148	0.2592729121
149	0.2592400046
150	0.2591851439
151	0.2591450785
152	0.2590892633
153	0.2590502615
154	0.2590134725
155	0.258974161
156	0.2589144609
157	0.2588922558
158	0.2588769579
159	0.2588456587
160	0.2587966212
161	0.2587567101
162	0.2587406453
163	0.2586904884
164	0.2586505969
165	0.2585945585
166	0.2585412346
167	0.2584983759
168	0.258469106
169	0.2584394049
170	0.2583707848
171	0.2583504489
172	0.2582977198
173	0.2582386824
174	0.2582054779
175	0.2581804028
176	0.2581429104
177	0.2580900353
178	0.258038912
179	0.2579996797
180	0.2579773218
181	0.2579507025
182	0.2579133368
183	0.2578650535
184	0.2578152097
185	0.2577811761
186	0.2577373691
187	0.2577340735
188	0.2577256373
189	0.2576652359
190	0.2576133349
191	0.2575735039
192	0.2575451217
193	0.2574633159
194	0.2574244624
195	0.2574174425
196	0.2573952377
197	0.2573584625
198	0.2572939552
199	0.2572874294
200	0.2572824856
201	0.2572448725
202	0.2572275938
203	0.2571930205
204	0.2571876764
205	0.2571452756
206	0.257108531
207	0.2570669989
208	0.2570260523
209	0.256976305
210	0.256928111
211	0.2569002773
212	0.2568700642
213	0.256852201
214	0.2568185067
215	0.2567757192
216	0.2567388965
217	0.2566924374
218	0.2566488033
219	0.2566129033
220	0.2565769225
221	0.256552012
222	0.2565498789
223	0.2565477938
224	0.2565080714
225	0.256506055
226	0.2564645667
227	0.2564130107
228	0.2563796789
229	0.2563142663
230	0.2562798196
231	0.2562423157
232	0.2562015458
233	0.2561604729
234	0.2561423653
235	0.2561041222
236	0.256084151
237	0.2560534445
238	0.2559977699
239	0.255973324
240	0.2559424949
241	0.2559006894
242	0.2558757836
243	0.2558368466
244	0.2557944542
245	0.2557576276
246	0.2557557015
247	0.255727119
248	0.2556895981
249	0.255637754
250	0.2556161713
251	0.2555885414
252	0.2555555088
253	0.2555242558
254	0.255497037
255	0.2554601409
256	0.2554297652
257	0.2553935003
258	0.2553605019
259	0.2553167049
260	0.2552791439
261	0.2552774883
262	0.2552602703
263	0.255236173
264	0.2551941979
265	0.2551525668
266	0.2551236438
267	0.255082196
268	0.2550099801
269	0.2549916896
270	0.2549412511
271	0.2549192028
272	0.2548873586
273	0.2548456635
274	0.2548079202
275	0.2547710792
276	0.2547695139
277	0.254732019
278	0.2547306181
279	0.2546979983
280	0.2546510569
281	0.2546162444
282	0.2545857813
283	0.2545793192
284	0.2545314558
285	0.2545116024
286	0.254460436
287	0.2544211878
288	0.254391761
