feature,mean_importance
feature_2,-0.004975442455709067
feature_3_ratio_feature_1,0.0009212369317950164
feature_2_diff_feature_3,0.0017434339743903683
feature_1,0.0023469482553680754
feature_1_diff_feature_3,0.004771962382743622
feature_1_ratio_feature_3,0.004858382772836306
feature_3_diff_feature_4,0.011239548661771747
feature_3,0.011486762046593569
feature_4_ratio_feature_1,0.01707457081254261
feature_4_ratio_feature_2,0.017626702039433638
feature_4_multiply_feature_3,0.019898786182774714
feature_4,0.022825846690180656
feature_4_sum_feature_3,0.032113171007715595
feature_2_ratio_feature_4,0.03627218168448003
