feature,mean_importance
feature_1,0.002200182213711685
feature_2,0.003452951955620953
feature_1_diff_feature_3,0.006663899572585429
feature_3_diff_feature_4,0.009943728005067463
feature_3,0.011930816662394945
feature_4_ratio_feature_1,0.017308229295811668
feature_1_ratio_feature_3,0.027119167596422643
feature_2_ratio_feature_4,0.0320276628596038
feature_2_diff_feature_3,0.03302555611683811
feature_4,0.033792655701138485
feature_4_sum_feature_3,0.038466065411428184
feature_3_ratio_feature_1,0.04052040170863095
feature_4_multiply_feature_3,0.07062863665026506
feature_4_ratio_feature_2,0.08788663357807144
