feature,mean_importance
feature_3,-0.003293723036651844
feature_1,0.0007991744250223448
feature_3_diff_feature_4,0.0027148057342837456
feature_4_ratio_feature_2,0.0033514098765757227
feature_2,0.0034190526017665646
feature_4_sum_feature_3,0.005743381645677059
feature_3_ratio_feature_1,0.007632099693698047
feature_2_diff_feature_3,0.00800790151157563
feature_4_ratio_feature_1,0.011340860126796064
feature_1_diff_feature_3,0.014690005839610549
feature_4,0.014811899544978066
feature_2_ratio_feature_4,0.02440251688461293
feature_1_ratio_feature_3,0.027788731693051256
feature_4_multiply_feature_3,0.03147685832577663
