feature,mean_importance
feature_1,0.000913623057193319
feature_2,0.0011488017516518233
feature_3,0.003172713972468538
feature_2_ratio_feature_4,0.0031856815010146396
feature_4,0.003605937169544049
feature_4_ratio_feature_1,0.006482336606853778
feature_1_diff_feature_3,0.009985905562188155
feature_3_diff_feature_4,0.014223614802934636
feature_4_sum_feature_3,0.016020249711383987
feature_2_diff_feature_3,0.021233985925897987
feature_1_ratio_feature_3,0.026733926956642663
feature_4_ratio_feature_2,0.03362598424900256
feature_3_ratio_feature_1,0.03408279884390426
feature_4_multiply_feature_3,0.041117298948714576
