feature,mean_importance
feature_4_sum_feature_3,-0.01151973759182138
feature_4_ratio_feature_1,-0.003163298174320958
feature_3,-0.0003745497153877897
feature_1_diff_feature_3,-0.00024584918912495536
feature_2,0.003251665314948951
feature_4,0.00346516629795183
feature_1_ratio_feature_3,0.0035096477955125134
feature_1,0.0035747595639446434
feature_3_ratio_feature_1,0.004630179574826818
feature_4_multiply_feature_3,0.009894823716399697
feature_4_ratio_feature_2,0.01630745024226011
feature_2_ratio_feature_4,0.018958349201240683
feature_3_diff_feature_4,0.020276625945168988
feature_2_diff_feature_3,0.03556803873060349
