feature,mean_importance
feature_2,-0.0042894032594561204
feature_1_diff_feature_3,-0.001448655693855072
feature_1,-0.0007803689423288185
feature_3,0.0013201252964730125
feature_1_ratio_feature_3,0.005062192240615981
feature_3_ratio_feature_1,0.006803839624447539
feature_3_diff_feature_4,0.009763584504017864
feature_4_ratio_feature_2,0.011756726011286012
feature_4,0.014560474844896493
feature_2_ratio_feature_4,0.016625863586466838
feature_4_ratio_feature_1,0.020826285116812244
feature_2_diff_feature_3,0.023721901934766466
feature_4_multiply_feature_3,0.03443436100884661
feature_4_sum_feature_3,0.04274896431150301
