iter	Passed	Remaining
409	6391	9198
410	6405	9179
411	6414	9154
412	6422	9128
413	6434	9107
414	6452	9096
415	6498	9123
416	6523	9120
417	6539	9105
418	6556	9091
419	6570	9073
420	6579	9048
421	6588	9024
422	6600	9003
423	6614	8985
424	6625	8964
425	6641	8949
426	6653	8928
427	6663	8905
428	6676	8885
429	6691	8870
430	6713	8862
431	6743	8866
432	6755	8846
433	6766	8824
434	6778	8803
435	6789	8782
436	6798	8759
437	6808	8735
438	6816	8711
439	6826	8688
440	6834	8663
441	6845	8641
442	6853	8616
443	6862	8593
444	6872	8571
445	6885	8552
446	6894	8529
447	6904	8507
448	6913	8484
449	6924	8463
450	6934	8441
451	6946	8421
452	6958	8402
453	6967	8379
454	6984	8365
455	6993	8343
456	7003	8321
457	7012	8298
458	7021	8275
459	7036	8259
460	7049	8242
461	7058	8219
462	7072	8203
463	7086	8186
464	7095	8163
465	7104	8141
466	7113	8118
467	7123	8097
468	7135	8079
469	7144	8057
470	7154	8035
471	7163	8013
472	7178	7998
473	7189	7978
474	7205	7963
475	7225	7954
476	7256	7956
477	7272	7941
478	7284	7922
479	7294	7902
480	7304	7881
481	7312	7858
482	7326	7842
483	7335	7820
484	7344	7798
485	7357	7781
486	7367	7761
487	7379	7742
488	7387	7719
489	7397	7699
490	7406	7678
491	7415	7656
492	7426	7637
493	7441	7622
494	7451	7602
495	7463	7583
496	7474	7564
497	7483	7543
498	7493	7523
499	7502	7502
500	7512	7482
501	7520	7460
502	7530	7440
503	7540	7420
504	7549	7400
505	7558	7379
506	7573	7364
507	7582	7344
508	7593	7325
509	7601	7303
510	7611	7284
511	7623	7266
512	7633	7246
513	7644	7227
514	7652	7206
515	7664	7188
516	7678	7173
517	7689	7154
518	7700	7136
519	7711	7118
520	7726	7103
521	7734	7082
522	7743	7062
523	7753	7043
524	7766	7027
525	7778	7009
526	7788	6990
527	7798	6971
528	7812	6956
529	7825	6939
530	7834	6919
531	7843	6899
532	7852	6880
533	7865	6864
534	7875	6844
535	7890	6830
536	7898	6810
537	7907	6790
538	7916	6770
539	7926	6752
540	7934	6732
541	7944	6713
542	7954	6694
543	7966	6678
544	7975	6658
545	7986	6640
546	7996	6622
547	8004	6602
548	8016	6585
549	8030	6570
550	8039	6551
551	8048	6532
552	8061	6516
553	8071	6498
554	8081	6479
555	8091	6461
556	8100	6442
557	8108	6423
558	8117	6403
559	8126	6384
560	8134	6365
561	8143	6346
562	8153	6329
563	8165	6312
564	8174	6293
565	8182	6274
566	8197	6259
567	8212	6245
568	8262	6258
569	8295	6258
570	8341	6267
571	8375	6266
572	8396	6256
573	8428	6255
574	8446	6243
575	8464	6230
576	8480	6216
577	8492	6200
578	8507	6185
579	8527	6175
580	8538	6157
581	8546	6138
582	8561	6123
583	8577	6109
584	8587	6091
585	8597	6074
586	8611	6058
587	8623	6042
588	8634	6025
589	8645	6007
590	8658	5992
591	8672	5977
592	8684	5960
593	8693	5941
594	8707	5927
595	8727	5916
596	8743	5902
597	8780	5902
598	8795	5887
599	8804	5869
600	8816	5853
601	8825	5834
602	8835	5816
603	8844	5799
604	8857	5782
605	8872	5768
606	8883	5751
607	8892	5733
608	8902	5715
609	8913	5698
610	8924	5681
611	8934	5664
612	8945	5647
613	8954	5629
614	8967	5613
615	8975	5595
616	8986	5578
617	8998	5562
618	9007	5544
619	9023	5530
620	9033	5513
621	9043	5495
622	9054	5479
623	9069	5464
624	9079	5447
625	9089	5430
626	9100	5414
627	9112	5397
628	9121	5380
629	9131	5362
630	9140	5345
631	9151	5328
632	9163	5312
633	9174	5296
634	9183	5278
635	9193	5261
636	9202	5244
637	9215	5228
638	9230	5214
639	9247	5201
640	9266	5190
641	9277	5173
642	9286	5156
643	9295	5138
644	9306	5122
645	9315	5104
646	9326	5088
647	9334	5070
648	9345	5054
649	9356	5037
650	9369	5022
651	9378	5005
652	9388	4988
653	9401	4973
654	9420	4961
655	9432	4946
656	9447	4932
657	9463	4918
658	9475	4903
659	9488	4887
660	9499	4871
661	9512	4856
662	9522	4840
663	9531	4823
664	9543	4807
665	9553	4791
666	9565	4775
667	9575	4759
668	9585	4742
669	9594	4725
670	9603	4708
671	9613	4692
672	9622	4675
673	9632	4658
674	9641	4642
675	9653	4626
676	9666	4611
677	9675	4595
678	9684	4578
679	9695	4562
680	9705	4546
681	9715	4529
682	9724	4513
683	9735	4497
684	9744	4481
685	9762	4468
686	9776	4454
687	9786	4437
688	9795	4421
689	9804	4405
690	9814	4389
691	9823	4372
692	9833	4356
693	9841	4339
694	9855	4324
695	9866	4309
696	9875	4293
697	9884	4276
698	9893	4260
699	9904	4244
700	9913	4228
701	9922	4212
702	9932	4196
703	9940	4179
704	9950	4163
705	9960	4147
706	9973	4133
707	9983	4117
708	9992	4101
709	10005	4086
710	10015	4071
711	10026	4055
712	10036	4039
713	10046	4024
714	10056	4008
715	10071	3994
716	10081	3979
717	10092	3963
718	10101	3947
719	10112	3932
720	10121	3916
721	10131	3901
722	10143	3886
723	10152	3870
724	10169	3857
725	10180	3842
726	10191	3827
727	10199	3810
728	10208	3794
729	10218	3779
730	10230	3764
731	10249	3752
732	10273	3742
733	10286	3727
734	10298	3713
735	10309	3697
736	10320	3683
737	10337	3669
738	10353	3656
739	10369	3643
740	10381	3628
741	10392	3613
742	10404	3598
743	10413	3583
744	10424	3568
745	10434	3552
746	10446	3538
747	10456	3522
748	10468	3508
749	10477	3492
750	10488	3477
751	10499	3462
752	10509	3447
753	10520	3432
754	10529	3416
755	10539	3401
756	10547	3385
757	10563	3372
758	10574	3357
759	10586	3343
760	10596	3327
761	10606	3312
762	10614	3297
763	10624	3281
764	10634	3266
765	10644	3251
766	10656	3237
767	10666	3222
768	10677	3207
769	10688	3192
770	10697	3177
771	10709	3162
772	10721	3148
773	10734	3134
774	10746	3119
775	10761	3106
776	10773	3091
777	10784	3077
778	10793	3062
779	10803	3047
780	10812	3031
781	10825	3017
782	10841	3004
783	10860	2992
784	10876	2978
785	10893	2965
786	10908	2952
787	10922	2938
788	10936	2924
789	11027	2931
790	11061	2922
791	11071	2907
792	11081	2892
793	11089	2877
794	11100	2862
795	11109	2847
796	11120	2832
797	11134	2818
798	11148	2804
799	11166	2791
800	11182	2778
801	11195	2764
802	11209	2750
803	11222	2735
804	11256	2726
805	11289	2717
806	11387	2723
807	11405	2710
808	11432	2699
809	11445	2684
810	11454	2669
811	11481	2658
812	11491	2643
813	11500	2627
814	11510	2612
815	11522	2598
816	11533	2583
817	11542	2568
818	11551	2552
819	11565	2538
820	11576	2523
821	11585	2508
822	11594	2493
823	11603	2478
824	11613	2463
825	11624	2448
