iter	Logloss
0	0.6141349772
1	0.5609645671
2	0.5069573486
3	0.4716929199
4	0.4415618001
5	0.416996346
6	0.3965295654
7	0.3881257406
8	0.3720233154
9	0.3558463053
10	0.3420903809
11	0.3309349691
12	0.3235968994
13	0.3176535238
14	0.3107318278
15	0.3063929932
16	0.3027693034
17	0.2992439779
18	0.2952948242
19	0.2916641602
20	0.2887347412
21	0.2862893473
22	0.2842394287
23	0.2822890788
24	0.2810609701
25	0.2799235677
26	0.2784882324
27	0.277355485
28	0.2762055745
29	0.2756901204
30	0.274943575
31	0.2742696411
32	0.2735221436
33	0.2728005412
34	0.2721481527
35	0.2715398112
36	0.2710318359
37	0.2706176229
38	0.2701336833
39	0.2697153361
40	0.2692773193
41	0.2690181112
42	0.2687153727
43	0.2683522583
44	0.2680411743
45	0.267791272
46	0.267547168
47	0.2672855347
48	0.2669797038
49	0.2668238281
50	0.2665679484
51	0.2663615641
52	0.2661598267
53	0.2659833577
54	0.2658510254
55	0.2656595174
56	0.2654485758
57	0.2652355428
58	0.2651021281
59	0.2649238525
60	0.2648229207
61	0.2646932129
62	0.2645398519
63	0.2644050049
64	0.2643326945
65	0.2642480713
66	0.2641453654
67	0.2639787069
68	0.2638685303
69	0.2637650757
70	0.263674764
71	0.2635234375
72	0.263357076
73	0.263277299
74	0.2631878459
75	0.2630802938
76	0.2629861206
77	0.2628569377
78	0.2628003418
79	0.2627319824
80	0.2626137858
81	0.2625430379
82	0.2624830363
83	0.262386971
84	0.2622536174
85	0.2621768595
86	0.2620668579
87	0.2618778931
88	0.2617791829
89	0.2616888957
90	0.2615827922
91	0.2615350382
92	0.2614185303
93	0.2613476888
94	0.2612697917
95	0.2612145508
96	0.2611433268
97	0.2610510417
98	0.2610240234
99	0.2609297241
100	0.2609092041
101	0.2608229818
102	0.2607903687
103	0.2607251953
104	0.2606451335
105	0.2605640584
106	0.2605023519
107	0.2604380249
108	0.2603757731
109	0.2603043701
110	0.260232137
111	0.2601579468
112	0.260064209
113	0.2600187988
114	0.2599092367
115	0.259786084
116	0.2596977661
117	0.2596482585
118	0.2595880493
119	0.2595296061
120	0.2595129964
121	0.2594305868
122	0.259351001
123	0.2592779419
124	0.2592191406
125	0.2591315755
126	0.2590134237
127	0.2589599772
128	0.2588781535
129	0.2587806112
130	0.2587292847
131	0.2586817301
132	0.2586448771
133	0.2585898682
134	0.2584657227
135	0.2584412598
136	0.2583496175
137	0.2582612508
138	0.2582266886
139	0.2581914958
140	0.2581006917
141	0.2580407227
142	0.2580135742
143	0.2579075562
144	0.2578756266
145	0.2577771159
146	0.2576772583
147	0.2576195964
148	0.2575296021
149	0.2574756673
150	0.2574203044
151	0.2573678385
152	0.2573311401
153	0.2573210083
154	0.2572883667
155	0.2572564779
156	0.2572258341
157	0.25715448
158	0.2571166097
159	0.2570621989
160	0.2570300252
161	0.2569883748
162	0.2569690308
163	0.2568705282
164	0.256822762
165	0.2567735718
166	0.2567098104
167	0.2566670207
168	0.2566307536
169	0.2565779012
170	0.2565297485
