feature,mean_importance
feature_1,0.00017844918545596722
feature_3,0.002928659560486141
feature_2,0.0032314806689606205
feature_3_diff_feature_4,0.005863845803532533
feature_1_diff_feature_3,0.006503126413432705
feature_3_ratio_feature_1,0.010005633314960575
feature_1_ratio_feature_3,0.011322197279906169
feature_4,0.013686043545723173
feature_4_multiply_feature_3,0.016760722105764368
feature_4_sum_feature_3,0.01737864478661539
feature_2_diff_feature_3,0.018849598223392126
feature_4_ratio_feature_2,0.020087544865684627
feature_2_ratio_feature_4,0.03993249918186056
feature_4_ratio_feature_1,0.040609801859209774
