feature,mean_importance
feature_1,0.0
feature_2,0.0
feature_4_ratio_feature_1,0.0
feature_1_ratio_feature_3,0.0
feature_1_diff_feature_3,0.0
feature_3_diff_feature_4,0.0
feature_4_ratio_feature_2,0.05109848343038674
feature_4_multiply_feature_3,0.05635268491290367
feature_2_ratio_feature_4,0.06685267244610953
feature_4,0.06921340999317666
feature_2_diff_feature_3,0.095937475194043
feature_3_ratio_feature_1,0.09928690926575703
feature_3,0.14395776309914327
feature_4_sum_feature_3,0.22885345536315
