feature,mean_importance
feature_2,0.0
feature_1,8.326672684688674e-18
feature_4_ratio_feature_1,0.0238180148342248
feature_1_diff_feature_3,0.02426720817809367
feature_3_diff_feature_4,0.024693568305706817
feature_4,0.0385445870328633
feature_3,0.04185532544564038
feature_1_ratio_feature_3,0.048569331309058224
feature_2_diff_feature_3,0.06387891404459378
feature_4_ratio_feature_2,0.06877189593336767
feature_4_sum_feature_3,0.06990831424505992
feature_2_ratio_feature_4,0.07876967069674241
feature_3_ratio_feature_1,0.09770235013017341
feature_4_multiply_feature_3,0.12019325554241597
