feature,mean_importance
feature_1,0.0
feature_2,0.0
feature_4_ratio_feature_1,0.0
feature_3_diff_feature_4,0.0
feature_4_ratio_feature_2,0.03736668809061828
feature_1_diff_feature_3,0.050509086206349384
feature_2_diff_feature_3,0.05112093390761929
feature_4,0.05327253034096998
feature_3,0.053580735299488404
feature_1_ratio_feature_3,0.07357988724549
feature_3_ratio_feature_1,0.08502497312510274
feature_2_ratio_feature_4,0.09745926373505315
feature_4_sum_feature_3,0.13500275106005954
feature_4_multiply_feature_3,0.16271855458196466
