feature,mean_importance
feature_3_diff_feature_4,-0.0023000388419910146
feature_2,0.001080113493111766
feature_1,0.002798717566082111
feature_3,0.004607173759742167
feature_1_diff_feature_3,0.008548358788139232
feature_4,0.012246418484883791
feature_4_ratio_feature_1,0.013961995161652297
feature_4_sum_feature_3,0.021223612129252795
feature_2_ratio_feature_4,0.022522144854509603
feature_1_ratio_feature_3,0.02254746830418388
feature_2_diff_feature_3,0.03546008857781065
feature_4_ratio_feature_2,0.051673114334981465
feature_3_ratio_feature_1,0.053957994381098454
feature_4_multiply_feature_3,0.09183903850109187
