feature,mean_importance
feature_2_diff_feature_3,-0.008185763210910135
feature_1_diff_feature_3,-0.0012305537950731472
feature_2,-0.0008285456690225734
feature_3_ratio_feature_1,0.00015927261379830582
feature_1_ratio_feature_3,0.002475241840980463
feature_3_diff_feature_4,0.0032330549454424097
feature_1,0.0033669982085955453
feature_3,0.00563775286159196
feature_4_sum_feature_3,0.013493676166462316
feature_4_multiply_feature_3,0.014528000857566292
feature_4_ratio_feature_1,0.015240122857649401
feature_4,0.021419305935353117
feature_4_ratio_feature_2,0.023263982094756712
feature_2_ratio_feature_4,0.033175192065750835
