feature,mean_importance
feature_3_diff_feature_4,-2.7755575615628915e-18
feature_1,0.0
feature_2,0.0
feature_3_ratio_feature_1,0.0
feature_4_ratio_feature_2,0.0
feature_2_ratio_feature_4,0.004250221794582979
feature_3,0.02234618226069541
feature_4_sum_feature_3,0.02932093364154732
feature_4_ratio_feature_1,0.06059420168756426
feature_1_diff_feature_3,0.06286528301290065
feature_1_ratio_feature_3,0.09934209467879396
feature_4,0.1307396161184445
feature_2_diff_feature_3,0.15481149525716098
feature_4_multiply_feature_3,0.23682882583233694
