feature,mean_importance
feature_1,-5.551115123125783e-17
feature_2,-5.551115123125783e-17
feature_4_ratio_feature_2,0.012344380477985578
feature_4,0.01503557826420398
feature_3_diff_feature_4,0.02600051791420882
feature_4_ratio_feature_1,0.03326447880028425
feature_2_ratio_feature_4,0.036382323552077475
feature_1_diff_feature_3,0.03879722235789486
feature_4_sum_feature_3,0.04129910730860893
feature_3,0.04338983012067424
feature_2_diff_feature_3,0.05232035895502144
feature_3_ratio_feature_1,0.053202087053080646
feature_1_ratio_feature_3,0.0585621835485973
feature_4_multiply_feature_3,0.0994272964049369
