feature,mean_importance
feature_1,0.0
feature_2,0.0
feature_4_ratio_feature_1,0.01040933394209502
feature_2_ratio_feature_4,0.011876767364376765
feature_4_sum_feature_3,0.014511257951944476
feature_4_ratio_feature_2,0.02268319782345352
feature_3_ratio_feature_1,0.027218840017739554
feature_1_diff_feature_3,0.048936898678989524
feature_3_diff_feature_4,0.0545632310305049
feature_3,0.0804563807386807
feature_4_multiply_feature_3,0.118389813213537
feature_1_ratio_feature_3,0.1397144267487476
feature_2_diff_feature_3,0.14952676966920156
feature_4,0.15366547127080843
